Calibrating	
165.3	165.28
165.29	165.29
161.51	161.56
165.3	165.29
165.29	165.16
165.29	375.54
165.29	165.26
165.3	165.53
165.31	165.52
165.31	165.26
165.32	165.41
165.32	165.25
165.32	165.22
165.32	165.31
165.32	165.32
169.1	169.16
165.33	165.3
165.33	165.34
165.33	165.3
169.1	169.12
172.87	172.94
180.44	180.47
180.45	180.53
184.23	184.25
184.24	184.26
191.8	191.82
199.37	408.81
199.38	199.58
203.17	203.27
210.73	210.63
218.29	218.25
222.07	222.11
229.63	229.64
229.62	229.55
240.96	241.06
240.97	241.05
248.53	455.61
256.09	256.21
259.88	259.88
267.43	267.32
271.21	271.14
278.77	488.51
278.77	278.8
286.33	286.25
293.89	293.92
297.68	297.6
305.24	305.2
316.58	316.67
324.15	324.36
335.5	545.41
343.06	343.11
343.06	343.13
354.41	354.49
361.96	361.9
373.31	580.26
380.87	380.9
384.65	384.53
384.64	384.65
384.64	384.76
384.64	384.7
384.64	384.75
384.65	384.74
384.65	384.33
384.65	384.63
384.63	384.59
384.63	384.66
384.62	384.45
384.62	384.68
384.62	384.59
384.61	384.51
384.61	384.53
384.6	384.48
384.59	384.6
384.59	384.58
384.59	384.45
384.59	384.56
384.58	384.61
384.59	384.71
384.58	384.5
384.59	384.68
384.58	384.57
384.57	384.44
384.56	384.34
384.56	384.75
384.56	384.46
384.55	384.66
384.54	384.4
384.54	384.39
384.54	384.6
384.54	384.53
384.54	384.5
384.54	384.6
384.54	384.35
384.54	384.49
384.54	384.4
384.53	384.58
384.54	384.56
384.53	384.47
384.53	384.31
384.53	384.57
384.53	384.43
384.53	384.5
384.53	384.56
384.54	384.41
384.54	384.67
384.54	384.58
384.54	384.41
384.52	384.32
384.52	384.5
384.51	384.37
384.51	384.4
384.51	384.6
384.51	384.44
384.51	384.45
384.5	384.47
384.5	384.5
384.5	384.62
384.5	384.35
384.5	384.41
384.5	384.52
384.5	384.44
384.5	384.54
384.51	384.61
384.51	384.44
384.51	384.63
384.5	384.52
384.49	384.45
384.49	384.55
384.48	384.47
376.92	-46.23
350.46	350.53
316.44	316.38
237.06	237.16
191.69	191.72
165.22	165.11
165.2	164.9
165.18	165.1
165.18	165.32
165.2	165.13
165.21	165.21
